Sampling	Contig	PeakStart	PeakEnd	ReadCount	ReadDepth
EMPIRICAL	NZ_JH724079.1	117412	118412	137	27
EMPIRICAL	NZ_JH724079.1	130533	131446	140	30
EMPIRICAL	NZ_JH724079.1	435160	435660	7	6
EMPIRICAL	NZ_JH724079.1	491036	491975	144	32
EMPIRICAL	NZ_JH724079.1	935817	936317	129	30
EMPIRICAL	NZ_JH724079.1	1083887	1084387	136	28
EMPIRICAL	NZ_JH724079.1	1208134	1208641	143	33
EMPIRICAL	NZ_JH724079.1	1255341	1255841	49	11
EMPIRICAL	NZ_JH724079.1	1324954	1325454	125	29
EMPIRICAL	NZ_JH724079.1	1366425	1366925	144	33
EMPIRICAL	NZ_JH724079.1	1419141	1419641	148	31
EMPIRICAL	NZ_JH724079.1	1438935	1439436	31	29
EMPIRICAL	NZ_JH724079.1	1485553	1486053	135	36
EMPIRICAL	NZ_JH724079.1	1564741	1565241	119	25
EMPIRICAL	NZ_JH724079.1	1788568	1789068	129	31
EMPIRICAL	NZ_JH724079.1	1789069	1789569	32	24
EMPIRICAL	NZ_JH724079.1	1969285	1969785	129	32
EMPIRICAL	NZ_JH724079.1	1969786	1970286	21	19
EMPIRICAL	NZ_JH724079.1	1996344	1997344	120	27
EMPIRICAL	NZ_JH724079.1	2119697	2120197	128	28
EMPIRICAL	NZ_JH724079.1	2194529	2195029	129	34
EMPIRICAL	NZ_JH724079.1	2195030	2195530	21	17
EMPIRICAL	NZ_JH724079.1	2293742	2294242	114	28
EMPIRICAL	NZ_JH724079.1	2294252	2294752	18	12
EMPIRICAL	NZ_JH724079.1	2472749	2473249	155	33
EMPIRICAL	NZ_JH724079.1	2515591	2516091	138	35
EMPIRICAL	NZ_JH724079.1	2534325	2534825	152	31
EMPIRICAL	NZ_JH724079.1	2614934	2615434	138	35
EMPIRICAL	NZ_JH724079.1	2615441	2615941	22	19
EMPIRICAL	NZ_JH724079.1	2693424	2693924	139	37
EMPIRICAL	NZ_JH724079.1	2841183	2841683	144	32
EMPIRICAL	NZ_JH724079.1	2841691	2842191	14	14
EMPIRICAL	NZ_JH724079.1	2931085	2931585	135	32
EMPIRICAL	NZ_JH724079.1	3107435	3107935	135	32
EMPIRICAL	NZ_JH724079.1	3427333	3427833	139	33
EMPIRICAL	NZ_JH724079.1	3427841	3428341	18	17
EMPIRICAL	NZ_JH724079.1	3438829	3439329	132	34
EMPIRICAL	NZ_JH724079.1	3439330	3439830	31	27
EMPIRICAL	NZ_JH724079.1	3509756	3510256	137	33
EMPIRICAL	NZ_JH724079.1	3517283	3517783	16	5
EMPIRICAL	NZ_JH724079.1	3526515	3527015	164	35
EMPIRICAL	NZ_JH724079.1	3527018	3527518	18	18
EMPIRICAL	NZ_JH724079.1	3567889	3568389	138	29
EMPIRICAL	NZ_JH724079.1	3568396	3568896	32	27
EMPIRICAL	NZ_JH724079.1	3815529	3816029	152	32
EMPIRICAL	NZ_JH724079.1	3885703	3886203	127	39
EMPIRICAL	NZ_JH724079.1	3886206	3886706	36	24
EMPIRICAL	NZ_JH724079.1	3919515	3920015	110	27
EMPIRICAL	NZ_JH724080.1	93787	94287	152	37
EMPIRICAL	NZ_JH724080.1	210263	210763	33	29
EMPIRICAL	NZ_JH724080.1	234695	235195	24	20
EMPIRICAL	NZ_JH724080.1	295669	296169	20	17
EMPIRICAL	NZ_JH724080.1	390678	391178	29	22
EMPIRICAL	NZ_JH724081.1	23704	24204	124	32
EMPIRICAL	NZ_JH724081.1	209623	210123	127	34
EMPIRICAL	NZ_JH724081.1	330261	330761	136	30
EMPIRICAL	NZ_JH724081.1	429293	429793	117	27
EMPIRICAL	NZ_JH724082.1	26669	27169	152	36
EMPIRICAL	NZ_JH724082.1	34639	35139	18	18
BOOTSTRAP1	NZ_JH724079.1	117412	118412	146	29
BOOTSTRAP1	NZ_JH724079.1	130533	131446	138	36
BOOTSTRAP1	NZ_JH724079.1	435160	435660	6	4
BOOTSTRAP1	NZ_JH724079.1	491036	491975	147	39
BOOTSTRAP1	NZ_JH724079.1	935817	936317	117	31
BOOTSTRAP1	NZ_JH724079.1	1083887	1084387	148	38
BOOTSTRAP1	NZ_JH724079.1	1208134	1208641	144	36
BOOTSTRAP1	NZ_JH724079.1	1255341	1255841	48	13
BOOTSTRAP1	NZ_JH724079.1	1324954	1325454	136	41
BOOTSTRAP1	NZ_JH724079.1	1366425	1366925	145	32
BOOTSTRAP1	NZ_JH724079.1	1419141	1419641	168	37
