NZ_JH724079.1	67578	68312	NZ_JH724079.1_67578	0	+	13	9.79077922858	-1	67589
NZ_JH724079.1	274534	275268	NZ_JH724079.1_274534	0	+	18	15.3525297789	-1	274544
NZ_JH724079.1	524767	525501	NZ_JH724079.1_524767	0	+	25	9.0	-1	524780
NZ_JH724079.1	552265	552999	NZ_JH724079.1_552265	0	+	246	9.0	-1	552347
NZ_JH724079.1	598995	599729	NZ_JH724079.1_598995	0	+	375	9.0	-1	599078
NZ_JH724079.1	647503	648237	NZ_JH724079.1_647503	0	+	12	8.76189976721	-1	647513
NZ_JH724079.1	657177	657911	NZ_JH724079.1_657177	0	+	1449	9.0	-1	658446
NZ_JH724079.1	787220	787954	NZ_JH724079.1_787220	0	+	24	9.0	-1	787235
NZ_JH724079.1	794357	795091	NZ_JH724079.1_794357	0	+	370	9.0	-1	794434
NZ_JH724079.1	824145	824879	NZ_JH724079.1_824145	0	+	11	7.76473730711	-1	824151
NZ_JH724079.1	868394	869128	NZ_JH724079.1_868394	0	+	399	9.0	-1	868464
NZ_JH724079.1	914721	915455	NZ_JH724079.1_914721	0	+	20	9.0	-1	914740
NZ_JH724079.1	1069096	1069830	NZ_JH724079.1_1069096	0	+	210	9.0	-1	1069141
NZ_JH724079.1	1144079	1144813	NZ_JH724079.1_1144079	0	+	30	9.0	-1	1144096
NZ_JH724079.1	1280280	1281014	NZ_JH724079.1_1280280	0	+	10	6.80174912365	-1	1280290
NZ_JH724079.1	1432260	1432994	NZ_JH724079.1_1432260	0	+	64	9.0	-1	1432285
NZ_JH724079.1	1519955	1520689	NZ_JH724079.1_1519955	0	+	23	9.0	-1	1519966
NZ_JH724079.1	1654364	1655098	NZ_JH724079.1_1654364	0	+	9	5.87579679746	-1	1654372
NZ_JH724079.1	1706122	1706856	NZ_JH724079.1_1706122	0	+	14	10.8492431153	-1	1706131
NZ_JH724079.1	1760420	1761154	NZ_JH724079.1_1760420	0	+	144	9.0	-1	1760473
NZ_JH724079.1	1774169	1774903	NZ_JH724079.1_1774169	0	+	121	9.0	-1	1774195
NZ_JH724079.1	1900536	1901270	NZ_JH724079.1_1900536	0	+	19	9.0	-1	1900544
NZ_JH724079.1	1953115	1953849	NZ_JH724079.1_1953115	0	+	24	9.0	-1	1953126
NZ_JH724079.1	2193257	2193991	NZ_JH724079.1_2193257	0	+	10	6.80174912365	-1	2193266
NZ_JH724079.1	2201194	2201928	NZ_JH724079.1_2201194	0	+	8	4.9902521974	-1	2201199
NZ_JH724079.1	2426945	2427679	NZ_JH724079.1_2426945	0	+	74	9.0	-1	2426963
NZ_JH724079.1	2450764	2451498	NZ_JH724079.1_2450764	0	+	10	6.80174912365	-1	2450768
NZ_JH724079.1	2522236	2522970	NZ_JH724079.1_2522236	0	+	42	9.0	-1	2522246
NZ_JH724079.1	2612400	2613134	NZ_JH724079.1_2612400	0	+	32	9.0	-1	2612411
NZ_JH724079.1	2671944	2672678	NZ_JH724079.1_2671944	0	+	8	4.9902521974	-1	2671949
NZ_JH724079.1	2778085	2778819	NZ_JH724079.1_2778085	0	+	124	9.0	-1	2778155
NZ_JH724079.1	2800643	2802111	NZ_JH724079.1_2800643	0	+	394	9.0	-1	2800707
NZ_JH724079.1	2814259	2814993	NZ_JH724079.1_2814259	0	+	23	9.0	-1	2814269
NZ_JH724079.1	2845458	2846192	NZ_JH724079.1_2845458	0	+	8	4.9902521974	-1	2845465
NZ_JH724079.1	2914172	2914906	NZ_JH724079.1_2914172	0	+	105	9.0	-1	2914196
NZ_JH724079.1	2965860	2966594	NZ_JH724079.1_2965860	0	+	35	9.0	-1	2965873
NZ_JH724079.1	3189492	3190226	NZ_JH724079.1_3189492	0	+	52	9.0	-1	3189506
NZ_JH724079.1	3192465	3193199	NZ_JH724079.1_3192465	0	+	16	13.0477162355	-1	3192476
NZ_JH724079.1	3243529	3244263	NZ_JH724079.1_3243529	0	+	182	9.0	-1	3243588
NZ_JH724079.1	3264057	3264791	NZ_JH724079.1_3264057	0	+	23	9.0	-1	3264064
NZ_JH724079.1	3371160	3371894	NZ_JH724079.1_3371160	0	+	450	9.0	-1	3371257
NZ_JH724079.1	3423299	3424033	NZ_JH724079.1_3423299	0	+	70	9.0	-1	3423318
NZ_JH724079.1	3585192	3585926	NZ_JH724079.1_3585192	0	+	11	7.76473730711	-1	3585197
NZ_JH724079.1	3624887	3625621	NZ_JH724079.1_3624887	0	+	24	9.0	-1	3624901
NZ_JH724079.1	3689041	3689775	NZ_JH724079.1_3689041	0	+	10	6.80174912365	-1	3689049
NZ_JH724079.1	3763406	3764140	NZ_JH724079.1_3763406	0	+	46	9.0	-1	3763429
NZ_JH724079.1	3813584	3814318	NZ_JH724079.1_3813584	0	+	8	4.9902521974	-1	3813589
NZ_JH724079.1	3982480	3983214	NZ_JH724079.1_3982480	0	+	38	9.0	-1	3982512
NZ_JH724080.1	96808	97542	NZ_JH724080.1_96808	0	+	261	9.0	-1	96902
