Sampling	Contig	PeakStart	PeakEnd	ReadCount	ReadDepth
EMPIRICAL	NZ_JH724079.1	67578	68312	13	11
EMPIRICAL	NZ_JH724079.1	274534	275268	18	10
EMPIRICAL	NZ_JH724079.1	524767	525501	25	13
EMPIRICAL	NZ_JH724079.1	552265	552999	246	82
EMPIRICAL	NZ_JH724079.1	598995	599729	375	83
EMPIRICAL	NZ_JH724079.1	647503	648237	12	10
EMPIRICAL	NZ_JH724079.1	657177	657911	1449	1269
EMPIRICAL	NZ_JH724079.1	787220	787954	24	15
EMPIRICAL	NZ_JH724079.1	794357	795091	370	77
EMPIRICAL	NZ_JH724079.1	824145	824879	11	6
EMPIRICAL	NZ_JH724079.1	868394	869128	399	70
EMPIRICAL	NZ_JH724079.1	914721	915455	20	19
EMPIRICAL	NZ_JH724079.1	1069096	1069830	210	45
EMPIRICAL	NZ_JH724079.1	1144079	1144813	30	17
EMPIRICAL	NZ_JH724079.1	1280280	1281014	10	10
EMPIRICAL	NZ_JH724079.1	1432260	1432994	64	25
EMPIRICAL	NZ_JH724079.1	1519955	1520689	23	11
EMPIRICAL	NZ_JH724079.1	1591290	1591834	1	1
EMPIRICAL	NZ_JH724079.1	1654364	1655098	9	8
EMPIRICAL	NZ_JH724079.1	1706122	1706856	14	9
EMPIRICAL	NZ_JH724079.1	1760420	1761531	144	53
EMPIRICAL	NZ_JH724079.1	1774169	1774903	121	26
EMPIRICAL	NZ_JH724079.1	1900536	1901270	19	8
EMPIRICAL	NZ_JH724079.1	1953115	1953849	24	11
EMPIRICAL	NZ_JH724079.1	2193257	2193991	10	9
EMPIRICAL	NZ_JH724079.1	2201194	2201928	8	5
EMPIRICAL	NZ_JH724079.1	2426945	2427679	74	18
EMPIRICAL	NZ_JH724079.1	2450764	2451498	10	4
EMPIRICAL	NZ_JH724079.1	2522236	2522970	42	10
EMPIRICAL	NZ_JH724079.1	2612400	2613134	32	11
EMPIRICAL	NZ_JH724079.1	2671944	2672678	8	5
EMPIRICAL	NZ_JH724079.1	2672739	2673283	87	22
EMPIRICAL	NZ_JH724079.1	2777994	2778819	124	70
EMPIRICAL	NZ_JH724079.1	2800643	2802111	394	64
EMPIRICAL	NZ_JH724079.1	2810204	2810748	0	0
EMPIRICAL	NZ_JH724079.1	2814259	2814993	23	10
EMPIRICAL	NZ_JH724079.1	2845458	2846192	8	7
EMPIRICAL	NZ_JH724079.1	2914172	2914906	105	24
EMPIRICAL	NZ_JH724079.1	2965860	2966594	35	13
EMPIRICAL	NZ_JH724079.1	3009281	3009825	7	2
EMPIRICAL	NZ_JH724079.1	3189492	3190226	52	14
EMPIRICAL	NZ_JH724079.1	3192465	3193199	16	11
EMPIRICAL	NZ_JH724079.1	3229626	3230170	4	2
EMPIRICAL	NZ_JH724079.1	3243529	3244263	182	59
EMPIRICAL	NZ_JH724079.1	3264057	3264791	23	7
EMPIRICAL	NZ_JH724079.1	3370840	3371894	451	97
EMPIRICAL	NZ_JH724079.1	3423299	3424033	70	19
EMPIRICAL	NZ_JH724079.1	3585192	3585926	11	5
EMPIRICAL	NZ_JH724079.1	3624887	3625621	24	14
EMPIRICAL	NZ_JH724079.1	3689041	3689775	10	8
EMPIRICAL	NZ_JH724079.1	3690787	3691331	0	0
EMPIRICAL	NZ_JH724079.1	3763406	3764140	46	23
EMPIRICAL	NZ_JH724079.1	3813584	3814318	8	5
EMPIRICAL	NZ_JH724079.1	3982480	3983214	38	32
EMPIRICAL	NZ_JH724079.1	4000331	4000875	2	1
EMPIRICAL	NZ_JH724080.1	96489	97542	261	94
EMPIRICAL	NZ_JH724080.1	133931	134665	21	13
EMPIRICAL	NZ_JH724080.1	196609	197153	1	1
EMPIRICAL	NZ_JH724080.1	198643	199377	5	2
EMPIRICAL	NZ_JH724080.1	218104	218838	25	9
EMPIRICAL	NZ_JH724080.1	247177	247911	26	19
EMPIRICAL	NZ_JH724080.1	259942	260486	18	18
EMPIRICAL	NZ_JH724080.1	290857	291591	9	4
EMPIRICAL	NZ_JH724080.1	334280	335014	50	10
EMPIRICAL	NZ_JH724080.1	410206	410940	8	4
EMPIRICAL	NZ_JH724080.1	424217	424761	0	0
EMPIRICAL	NZ_JH724080.1	465144	465878	19	13
EMPIRICAL	NZ_JH724080.1	576042	576776	6	6
EMPIRICAL	NZ_JH724080.1	583726	584270	5	4
EMPIRICAL	NZ_JH724081.1	65913	66647	6	2
EMPIRICAL	NZ_JH724081.1	128351	129085	4	4
EMPIRICAL	NZ_JH724081.1	161231	161965	5	4
EMPIRICAL	NZ_JH724081.1	196336	196880	0	0
EMPIRICAL	NZ_JH724081.1	308654	309388	6	4
EMPIRICAL	NZ_JH724081.1	333049	333783	25	14
EMPIRICAL	NZ_JH724081.1	346334	347068	8	6
EMPIRICAL	NZ_JH724081.1	360493	361227	5	4
EMPIRICAL	NZ_JH724081.1	361828	362372	6	2
EMPIRICAL	NZ_JH724081.1	409540	410274	9	6
EMPIRICAL	NZ_JH724081.1	485886	486620	7	2
EMPIRICAL	NZ_JH724081.1	504763	505497	4	2
EMPIRICAL	NZ_JH724081.1	508475	509019	0	0
EMPIRICAL	NZ_JH724082.1	6999	7543	0	0
EMPIRICAL	NZ_JH724082.1	9923	10467	0	0
EMPIRICAL	NZ_JH724082.1	15792	16526	13	12
EMPIRICAL	NZ_JH724082.1	197654	198198	0	0
EMPIRICAL	NZ_JH724082.1	211583	212317	24	12
BOOTSTRAP1	NZ_JH724079.1	67578	68312	15	14
BOOTSTRAP1	NZ_JH724079.1	274534	275268	16	11
BOOTSTRAP1	NZ_JH724079.1	524767	525501	23	13
BOOTSTRAP1	NZ_JH724079.1	552265	552999	226	72
BOOTSTRAP1	NZ_JH724079.1	598995	599729	385	83
BOOTSTRAP1	NZ_JH724079.1	647503	648237	12	11
BOOTSTRAP1	NZ_JH724079.1	657177	657911	1469	1307
BOOTSTRAP1	NZ_JH724079.1	787220	787954	15	11
BOOTSTRAP1	NZ_JH724079.1	794357	795091	359	78
BOOTSTRAP1	NZ_JH724079.1	824145	824879	11	5
BOOTSTRAP1	NZ_JH724079.1	868394	869128	401	74
BOOTSTRAP1	NZ_JH724079.1	914721	915455	15	15
BOOTSTRAP1	NZ_JH724079.1	1069096	1069830	195	43
BOOTSTRAP1	NZ_JH724079.1	1144079	1144813	26	19
BOOTSTRAP1	NZ_JH724079.1	1280280	1281014	14	14
BOOTSTRAP1	NZ_JH724079.1	1432260	1432994	58	20
BOOTSTRAP1	NZ_JH724079.1	1519955	1520689	21	10
BOOTSTRAP1	NZ_JH724079.1	1591290	1591834	3	3
BOOTSTRAP1	NZ_JH724079.1	1654364	1655098	7	6
BOOTSTRAP1	NZ_JH724079.1	1706122	1706856	14	9
BOOTSTRAP1	NZ_JH724079.1	1760420	1761531	130	53
BOOTSTRAP1	NZ_JH724079.1	1774169	1774903	139	41
BOOTSTRAP1	NZ_JH724079.1	1900536	1901270	17	15
BOOTSTRAP1	NZ_JH724079.1	1953115	1953849	32	16
BOOTSTRAP1	NZ_JH724079.1	2193257	2193991	9	9
BOOTSTRAP1	NZ_JH724079.1	2201194	2201928	10	6
BOOTSTRAP1	NZ_JH724079.1	2426945	2427679	76	18
BOOTSTRAP1	NZ_JH724079.1	2450764	2451498	9	4
BOOTSTRAP1	NZ_JH724079.1	2522236	2522970	50	16
BOOTSTRAP1	NZ_JH724079.1	2612400	2613134	23	9
BOOTSTRAP1	NZ_JH724079.1	2671944	2672678	10	8
BOOTSTRAP1	NZ_JH724079.1	2672739	2673283	82	24
BOOTSTRAP1	NZ_JH724079.1	2777994	2778819	130	80
BOOTSTRAP1	NZ_JH724079.1	2800643	2802111	434	84
BOOTSTRAP1	NZ_JH724079.1	2810204	2810748	0	0
BOOTSTRAP1	NZ_JH724079.1	2814259	2814993	23	10
BOOTSTRAP1	NZ_JH724079.1	2845458	2846192	8	8
BOOTSTRAP1	NZ_JH724079.1	2914172	2914906	95	25
BOOTSTRAP1	NZ_JH724079.1	2965860	2966594	34	13
BOOTSTRAP1	NZ_JH724079.1	3009281	3009825	7	4
BOOTSTRAP1	NZ_JH724079.1	3189492	3190226	61	16
BOOTSTRAP1	NZ_JH724079.1	3192465	3193199	20	13
BOOTSTRAP1	NZ_JH724079.1	3229626	3230170	7	4
BOOTSTRAP1	NZ_JH724079.1	3243529	3244263	191	63
BOOTSTRAP1	NZ_JH724079.1	3264057	3264791	23	9
BOOTSTRAP1	NZ_JH724079.1	3370840	3371894	472	105
BOOTSTRAP1	NZ_JH724079.1	3423299	3424033	73	21
BOOTSTRAP1	NZ_JH724079.1	3585192	3585926	11	7
BOOTSTRAP1	NZ_JH724079.1	3624887	3625621	24	16
BOOTSTRAP1	NZ_JH724079.1	3689041	3689775	10	7
BOOTSTRAP1	NZ_JH724079.1	3690787	3691331	0	0
BOOTSTRAP1	NZ_JH724079.1	3763406	3764140	43	22
BOOTSTRAP1	NZ_JH724079.1	3813584	3814318	15	8
BOOTSTRAP1	NZ_JH724079.1	3982480	3983214	39	31
BOOTSTRAP1	NZ_JH724079.1	4000331	4000875	2	2
BOOTSTRAP1	NZ_JH724080.1	96489	97542	224	86
BOOTSTRAP1	NZ_JH724080.1	133931	134665	24	15
BOOTSTRAP1	NZ_JH724080.1	196609	197153	0	0
BOOTSTRAP1	NZ_JH724080.1	198643	199377	6	3
BOOTSTRAP1	NZ_JH724080.1	218104	218838	28	9
BOOTSTRAP1	NZ_JH724080.1	247177	247911	15	12
BOOTSTRAP1	NZ_JH724080.1	259942	260486	12	12
BOOTSTRAP1	NZ_JH724080.1	290857	291591	8	5
BOOTSTRAP1	NZ_JH724080.1	334280	335014	41	14
BOOTSTRAP1	NZ_JH724080.1	410206	410940	8	4
BOOTSTRAP1	NZ_JH724080.1	424217	424761	0	0
BOOTSTRAP1	NZ_JH724080.1	465144	465878	11	9
BOOTSTRAP1	NZ_JH724080.1	576042	576776	13	13
BOOTSTRAP1	NZ_JH724080.1	583726	584270	6	6
BOOTSTRAP1	NZ_JH724081.1	65913	66647	5	2
BOOTSTRAP1	NZ_JH724081.1	128351	129085	6	6
BOOTSTRAP1	NZ_JH724081.1	161231	161965	1	1
BOOTSTRAP1	NZ_JH724081.1	196336	196880	0	0
BOOTSTRAP1	NZ_JH724081.1	308654	309388	4	2
BOOTSTRAP1	NZ_JH724081.1	333049	333783	26	19
BOOTSTRAP1	NZ_JH724081.1	346334	347068	5	3
BOOTSTRAP1	NZ_JH724081.1	360493	361227	10	9
BOOTSTRAP1	NZ_JH724081.1	361828	362372	8	3
BOOTSTRAP1	NZ_JH724081.1	409540	410274	12	11
BOOTSTRAP1	NZ_JH724081.1	485886	486620	7	5
BOOTSTRAP1	NZ_JH724081.1	504763	505497	6	3
BOOTSTRAP1	NZ_JH724081.1	508475	509019	0	0
BOOTSTRAP1	NZ_JH724082.1	6999	7543	0	0
BOOTSTRAP1	NZ_JH724082.1	9923	10467	0	0
BOOTSTRAP1	NZ_JH724082.1	15792	16526	15	14
BOOTSTRAP1	NZ_JH724082.1	197654	198198	0	0
BOOTSTRAP1	NZ_JH724082.1	211583	212317	20	10
BOOTSTRAP2	NZ_JH724079.1	67578	68312	11	9
BOOTSTRAP2	NZ_JH724079.1	274534	275268	14	9
BOOTSTRAP2	NZ_JH724079.1	524767	525501	26	13
BOOTSTRAP2	NZ_JH724079.1	552265	552999	263	90
BOOTSTRAP2	NZ_JH724079.1	598995	599729	360	90
BOOTSTRAP2	NZ_JH724079.1	647503	648237	12	11
BOOTSTRAP2	NZ_JH724079.1	657177	657911	1403	1234
BOOTSTRAP2	NZ_JH724079.1	787220	787954	29	15
BOOTSTRAP2	NZ_JH724079.1	794357	795091	376	80
BOOTSTRAP2	NZ_JH724079.1	824145	824879	9	7
BOOTSTRAP2	NZ_JH724079.1	868394	869128	378	73
BOOTSTRAP2	NZ_JH724079.1	914721	915455	17	17
BOOTSTRAP2	NZ_JH724079.1	1069096	1069830	197	40
BOOTSTRAP2	NZ_JH724079.1	1144079	1144813	28	20
BOOTSTRAP2	NZ_JH724079.1	1280280	1281014	15	15
BOOTSTRAP2	NZ_JH724079.1	1432260	1432994	52	23
BOOTSTRAP2	NZ_JH724079.1	1519955	1520689	20	11
BOOTSTRAP2	NZ_JH724079.1	1591290	1591834	0	0
BOOTSTRAP2	NZ_JH724079.1	1654364	1655098	5	4
BOOTSTRAP2	NZ_JH724079.1	1706122	1706856	11	7
BOOTSTRAP2	NZ_JH724079.1	1760420	1761531	152	53
BOOTSTRAP2	NZ_JH724079.1	1774169	1774903	119	33
BOOTSTRAP2	NZ_JH724079.1	1900536	1901270	16	7
BOOTSTRAP2	NZ_JH724079.1	1953115	1953849	24	19
BOOTSTRAP2	NZ_JH724079.1	2193257	2193991	11	10
BOOTSTRAP2	NZ_JH724079.1	2201194	2201928	6	4
BOOTSTRAP2	NZ_JH724079.1	2426945	2427679	80	20
BOOTSTRAP2	NZ_JH724079.1	2450764	2451498	8	3
BOOTSTRAP2	NZ_JH724079.1	2522236	2522970	41	11
BOOTSTRAP2	NZ_JH724079.1	2612400	2613134	31	13
BOOTSTRAP2	NZ_JH724079.1	2671944	2672678	10	6
BOOTSTRAP2	NZ_JH724079.1	2672739	2673283	101	26
BOOTSTRAP2	NZ_JH724079.1	2777994	2778819	113	64
BOOTSTRAP2	NZ_JH724079.1	2800643	2802111	408	81
BOOTSTRAP2	NZ_JH724079.1	2810204	2810748	0	0
BOOTSTRAP2	NZ_JH724079.1	2814259	2814993	16	12
BOOTSTRAP2	NZ_JH724079.1	2845458	2846192	9	8
BOOTSTRAP2	NZ_JH724079.1	2914172	2914906	94	26
BOOTSTRAP2	NZ_JH724079.1	2965860	2966594	37	16
BOOTSTRAP2	NZ_JH724079.1	3009281	3009825	10	4
BOOTSTRAP2	NZ_JH724079.1	3189492	3190226	67	19
BOOTSTRAP2	NZ_JH724079.1	3192465	3193199	20	14
BOOTSTRAP2	NZ_JH724079.1	3229626	3230170	6	3
BOOTSTRAP2	NZ_JH724079.1	3243529	3244263	195	59
BOOTSTRAP2	NZ_JH724079.1	3264057	3264791	22	7
BOOTSTRAP2	NZ_JH724079.1	3370840	3371894	457	97
BOOTSTRAP2	NZ_JH724079.1	3423299	3424033	69	21
BOOTSTRAP2	NZ_JH724079.1	3585192	3585926	15	8
BOOTSTRAP2	NZ_JH724079.1	3624887	3625621	32	15
BOOTSTRAP2	NZ_JH724079.1	3689041	3689775	16	14
BOOTSTRAP2	NZ_JH724079.1	3690787	3691331	0	0
BOOTSTRAP2	NZ_JH724079.1	3763406	3764140	47	23
BOOTSTRAP2	NZ_JH724079.1	3813584	3814318	6	4
BOOTSTRAP2	NZ_JH724079.1	3982480	3983214	30	27
BOOTSTRAP2	NZ_JH724079.1	4000331	4000875	6	6
BOOTSTRAP2	NZ_JH724080.1	96489	97542	287	104
BOOTSTRAP2	NZ_JH724080.1	133931	134665	22	16
BOOTSTRAP2	NZ_JH724080.1	196609	197153	0	0
BOOTSTRAP2	NZ_JH724080.1	198643	199377	11	6
BOOTSTRAP2	NZ_JH724080.1	218104	218838	27	12
BOOTSTRAP2	NZ_JH724080.1	247177	247911	25	20
BOOTSTRAP2	NZ_JH724080.1	259942	260486	20	20
BOOTSTRAP2	NZ_JH724080.1	290857	291591	5	3
BOOTSTRAP2	NZ_JH724080.1	334280	335014	41	9
BOOTSTRAP2	NZ_JH724080.1	410206	410940	5	2
BOOTSTRAP2	NZ_JH724080.1	424217	424761	0	0
BOOTSTRAP2	NZ_JH724080.1	465144	465878	23	15
BOOTSTRAP2	NZ_JH724080.1	576042	576776	9	9
BOOTSTRAP2	NZ_JH724080.1	583726	584270	6	4
BOOTSTRAP2	NZ_JH724081.1	65913	66647	7	3
BOOTSTRAP2	NZ_JH724081.1	128351	129085	10	10
BOOTSTRAP2	NZ_JH724081.1	161231	161965	2	2
BOOTSTRAP2	NZ_JH724081.1	196336	196880	0	0
BOOTSTRAP2	NZ_JH724081.1	308654	309388	3	3
BOOTSTRAP2	NZ_JH724081.1	333049	333783	20	10
BOOTSTRAP2	NZ_JH724081.1	346334	347068	12	11
BOOTSTRAP2	NZ_JH724081.1	360493	361227	6	5
BOOTSTRAP2	NZ_JH724081.1	361828	362372	8	4
BOOTSTRAP2	NZ_JH724081.1	409540	410274	9	5
BOOTSTRAP2	NZ_JH724081.1	485886	486620	9	3
BOOTSTRAP2	NZ_JH724081.1	504763	505497	5	5
BOOTSTRAP2	NZ_JH724081.1	508475	509019	0	0
BOOTSTRAP2	NZ_JH724082.1	6999	7543	0	0
BOOTSTRAP2	NZ_JH724082.1	9923	10467	0	0
BOOTSTRAP2	NZ_JH724082.1	15792	16526	16	15
BOOTSTRAP2	NZ_JH724082.1	197654	198198	0	0
BOOTSTRAP2	NZ_JH724082.1	211583	212317	29	14
BOOTSTRAP3	NZ_JH724079.1	67578	68312	10	8
BOOTSTRAP3	NZ_JH724079.1	274534	275268	16	8
BOOTSTRAP3	NZ_JH724079.1	524767	525501	27	15
BOOTSTRAP3	NZ_JH724079.1	552265	552999	239	82
BOOTSTRAP3	NZ_JH724079.1	598995	599729	384	83
BOOTSTRAP3	NZ_JH724079.1	647503	648237	12	10
BOOTSTRAP3	NZ_JH724079.1	657177	657911	1454	1287
BOOTSTRAP3	NZ_JH724079.1	787220	787954	19	17
BOOTSTRAP3	NZ_JH724079.1	794357	795091	371	89
BOOTSTRAP3	NZ_JH724079.1	824145	824879	8	5
BOOTSTRAP3	NZ_JH724079.1	868394	869128	383	63
BOOTSTRAP3	NZ_JH724079.1	914721	915455	25	25
BOOTSTRAP3	NZ_JH724079.1	1069096	1069830	229	58
